count, gb id, description, protein id, length
0, CP019280.1, Escherichia coli, AUZ01052.1, 431
1, CP035320.1, Escherichia coli, QAU77646.1, 431
2, CP035321.1, Escherichia coli, QAU59612.1, 431
4, CP024859.1, Escherichia coli, ATX54336.1, 431
6, CP024855.1, Escherichia coli, ATX46874.1, 431
8, CP023377.1, Escherichia coli, ATC02266.1, 431
9, CP018995.1, Escherichia coli, AQV78343.1, 431
17, CP033631.1, Klebsiella sp. P1CD1, AYW18859.1, 431
18, CP018307.1, Klebsiella variicola, AXO69083.1, 431
19, LS992185.1, Escherichia coli, SYX36405.1, 431
23, LR134235.1, Klebsiella aerogenes, VEC98825.1, 431
24, CP028578.2, Escherichia coli, AVZ08987.1, 431
26, CP030173.1, Klebsiella variicola, AWX76416.1, 431
27, CP013985.1, Klebsiella variicola, APW87367.1, 431
28, LT838200.1, Escherichia coli, SMB26490.1, 431
29, LT838196.1, Escherichia coli, SMB26493.1, 431
30, CP010523.2, Klebsiella variicola, AJE88909.1, 431
31, CP009274.2, Klebsiella variicola, AJA98239.1, 431
32, LT174603.1, Klebsiella pneumoniae, CZQ25307.1, 431
38, CP001891.1, Klebsiella variicola At-22, ADC57493.1, 431
39, CP000964.1, Klebsiella variicola, ACI11711.1, 431
44, CP024916.1, Klebsiella pneumoniae, AVT95427.1, 431
45, CP027612.1, Klebsiella pneumoniae subsp. ozaenae, AVO93676.1, 431
46, CP025515.1, Klebsiella pneumoniae, AUH97563.1, 431
47, CP006636.1, Escherichia coli PCN061, AKM35607.1, 431
50, CP022444.1, Klebsiella sp. LY, AZZ17566.1, 431
51, CP030171.1, Klebsiella quasipneumoniae subsp. quasipneumoniae, AWX86785.1, 431
52, CP029597.1, Klebsiella quasipneumoniae subsp. similipneumoniae, AWO63095.1, 431
53, CP029432.1, Klebsiella quasipneumoniae, AWL62177.1, 431
54, CP029437.1, Klebsiella quasipneumoniae, AWL76368.1, 431
55, CP029443.1, Klebsiella quasipneumoniae, AWL58430.1, 431
56, CP014071.1, Klebsiella quasipneumoniae, AVF90165.1, 431
58, CP023963.1, Klebsiella aerogenes, ATM92246.1, 431
59, CP000802.1, Escherichia coli HS, ABV06459.1, 431
63, CP024515.1, Klebsiella pneumoniae, ATR14998.1, 431
64, CP024504.1, Klebsiella pneumoniae, ATR09267.1, 431
65, CP024499.1, Klebsiella pneumoniae, ATR03869.1, 431
66, CP024496.1, Klebsiella pneumoniae, ATQ98699.1, 431
67, CP023416.1, Klebsiella pneumoniae, AXT65453.1, 431
68, CP031577.1, Klebsiella pneumoniae, AXO56944.1, 431
69, CP035777.1, Klebsiella pneumoniae, QBD90240.1, 431
70, CP031562.1, Klebsiella pneumoniae, QBA32868.1, 431
71, CP031938.1, Klebsiella pneumoniae, AZP88588.1, 431
72, LR134206.1, Klebsiella aerogenes, VEC00897.1, 431
73, CP028783.1, Klebsiella pneumoniae subsp. pneumoniae, AWA51436.1, 431
74, CP024548.1, Klebsiella pneumoniae, ATR52162.1, 431
75, CP024545.1, Klebsiella pneumoniae, ATR46851.1, 431
76, CP024542.1, Klebsiella pneumoniae, ATR41533.1, 431
78, CP018352.1, Klebsiella pneumoniae, APM18281.1, 431
81, CP006656.1, Klebsiella pneumoniae JM45, AGT23506.1, 431
82, CP032185.1, Klebsiella pneumoniae, AXZ08281.1, 431
83, CP026153.1, Klebsiella pneumoniae, QAW89208.1, 431
86, LS399318.1, Klebsiella pneumoniae, SPR88245.1, 431
87, CP029590.1, Klebsiella pneumoniae, AWO47419.1, 431
88, CP029587.1, Klebsiella pneumoniae, AWO42510.1, 431
90, CP025636.1, Klebsiella pneumoniae, AUN63139.1, 431
92, CP024038.1, Klebsiella pneumoniae, ATO26055.1, 431
93, CP023919.1, Klebsiella pneumoniae, ATM41871.1, 431
97, CP012561.1, Klebsiella pneumoniae, AOM95483.1, 431
98, CP012560.1, Klebsiella pneumoniae, AOM91684.1, 431
99, LT174604.1, Klebsiella pneumoniae, CZQ25315.1, 431
105, CP015385.1, Klebsiella pneumoniae, APV24424.1, 431
107, CP035331.1, Escherichia coli, QAU87018.1, 431
109, CP009450.1, Pluralibacter gergoviae, AIR00769.1, 431
110, LR134333.1, Klebsiella oxytoca, VEF68568.1, 430
111, CP027426.1, Klebsiella oxytoca, AVL83412.1, 430
112, LR133932.1, Klebsiella oxytoca, VDY53621.1, 430
113, LS483483.1, Klebsiella oxytoca, SQI95516.1, 430
114, LT174599.1, Klebsiella pneumoniae, CZQ25274.1, 430
117, CP033844.1, Klebsiella oxytoca, AYZ51158.1, 430
118, CP018816.1, Klebsiella pneumoniae, APR47666.1, 430
120, CP006659.2, Klebsiella pneumoniae, AHI36964.1, 430
121, CP030026.1, Salmonella enterica subsp. enterica, AXC69447.1, 431
123, CP030219.1, Salmonella enterica, AXD72938.1, 431
124, CP029995.1, Salmonella enterica subsp. enterica, AXC86813.1, 431
125, CP029989.1, Salmonella enterica subsp. enterica, AXC71572.1, 431
127, CP029992.1, Salmonella enterica subsp. enterica, AXC79782.1, 431
134, CP006608.1, Salmonella bongori N268-08, AGR57873.1, 431
139, CP023009.1, Lonsdalea britannica, AXW86983.1, 430
140, CP025573.1, Escherichia coli, AZZ27021.1, 433
145, AP008232.1, morsitans, BAE74392.1, 434
147, CP006569.1, Sodalis praecaptivus, AHF76527.1, 427
151, CP019952.1, Pseudomonas parafulva, AQW67787.1, 435
152, CP003588.1, Pseudomonas putida ND6, AFK67964.1, 435
153, MH325889.1, Citrobacter braakii, AWU66598.1, 430
154, MH325884.1, Citrobacter youngae, AWU66550.1, 430
155, MH325885.1, Citrobacter youngae, AWU66565.1, 430
156, CP020964.1, Xanthomonas phaseoli pv. phaseoli, ATS22504.1, 428
157, CP020971.1, Xanthomonas phaseoli pv. phaseoli, ATS31073.1, 428
162, CP020967.1, Xanthomonas phaseoli pv. phaseoli, ATS25410.1, 428
163, MH325883.1, Citrobacter youngae, AWU66535.1, 430
164, CP020975.1, Xanthomonas phaseoli pv. phaseoli, ATS33661.1, 428
165, CP017188.2, Xanthomonas citri pv. glycines str. 8ra, AOY61693.1, 428
166, CP015972.1, Xanthomonas citri pv. glycines str. 12-2, ARV24661.1, 428
167, CP012002.1, Xanthomonas citri pv. aurantifolii, AMV07863.1, 428
168, FO681494.1, Xanthomonas citri pv. fuscans, CDF62924.1, 428
169, CP011250.1, Xanthomonas citri pv. aurantifolii, ARE56260.1, 428
170, CP020992.1, Xanthomonas citri pv. phaseoli var. fuscans, ATS62422.1, 428
171, CP021001.1, Xanthomonas citri pv. phaseoli var. fuscans, ATS72541.1, 428
172, CP020998.1, Xanthomonas citri pv. phaseoli var. fuscans, ATS67879.1, 428
173, CP021006.1, Xanthomonas citri pv. phaseoli var. fuscans, ATS75315.1, 428
174, CP021018.1, Xanthomonas citri pv. phaseoli var. fuscans, ATS87426.1, 428
175, CP021012.1, Xanthomonas citri pv. phaseoli var. fuscans, ATS81459.1, 428
176, CP012055.1, Xanthomonas citri pv. fuscans, AZU22886.1, 428
177, CP012051.1, Xanthomonas citri pv. fuscans, AZU94197.1, 428
178, CP012053.1, Xanthomonas citri pv. fuscans, AZU18934.1, 428
179, CP023294.1, Xanthomonas citri pv. fuscans, ATB59948.1, 428
180, CP022263.1, Xanthomonas citri pv. vignicola, ASK90931.1, 428
181, CP011163.1, Xanthomonas citri pv. aurantifolii, AMV01636.1, 428
182, CP011160.1, Xanthomonas citri pv. aurantifolii, AMU97289.1, 428
183, CP013004.1, Xanthomonas citri pv. malvacearum, ASN00014.1, 428
184, CP013006.1, Xanthomonas citri pv. malvacearum, ASN08204.1, 428
185, CP023155.1, Xanthomonas citri pv. malvacearum, ASY83367.1, 428
187, CP016833.1, Xanthomonas fragariae, AOD19297.1, 428
188, CP016830.1, Xanthomonas fragariae, AOD15876.1, 428
189, LT853885.1, Xanthomonas fragariae, SMR04504.1, 428
190, LT853880.1, Xanthomonas fragariae, SMQ94168.1, 428
191, LT853882.1, Xanthomonas fragariae, SMQ98032.1, 428
192, CP018728.1, Xanthomonas gardneri, APP79382.1, 428
193, CP031059.1, Xanthomonas axonopodis pv. commiphoreae, AYO94450.1, 428
195, CP028301.1, Acidovorax avenae subsp. avenae, AVT12026.1, 428
197, CP028294.1, Acidovorax avenae subsp. avenae, AVS87483.1, 428
199, CP017020.1, Xanthomonas citri pv. malvacearum, AOL20784.1, 428
200, CP023159.1, Xanthomonas citri pv. malvacearum, ASY90088.1, 428
201, CP018467.1, Xanthomonas euvesicatoria, APO89343.1, 428
202, CP017190.1, Xanthomonas campestris pv. vesicatoria str. 85-10, AOY67071.1, 428
203, AM039952.1, Xanthomonas campestris pv. vesicatoria str. 85-10, CAJ25452.1, 428
207, AF204145.1, Xanthomonas campestris pv. campestris, AAK53481.1, 428
209, AM920689.1, Xanthomonas campestris pv. campestris, CAP53116.1, 428
210, CP002789.1, Xanthomonas campestris pv. raphani 756C, AEL05671.1, 428
212, AE008922.1, Xanthomonas campestris pv. campestris str. ATCC 33913, AAM39917.1, 428
216, CP016878.1, Xanthomonas hortorum, ASW46616.1, 428
217, CP012145.1, Xanthomonas campestris pv. campestris, AKS17517.1, 428
218, CP000050.1, Xanthomonas campestris pv. campestris str. 8004, AAY50673.1, 428
219, CP018731.1, Xanthomonas gardneri, APP83479.1, 428
220, CP011946.1, Xanthomonas campestris pv. campestris, ALE67542.1, 428
221, CP015878.1, Pseudomonas citronellolis, ANI17983.1, 427
223, CP033055.1, Serratia sp. 3ACOL1, AYM89688.1, 424
224, LR134318.1, Pseudomonas fluorescens, VEF12186.1, 435
225, LR134318.1, Pseudomonas fluorescens, VEF13778.1, 417
226, LR134178.1, Legionella sainthelensi, VEB38830.1, 436
227, LR134388.1, Legionella sainthelensi, VEH37226.1, 436
230, KX156850.1, Franconibacter pulveris, ANF28854.1, 451
232, LT907842.1, Pseudomonas fluorescens, SNY06916.1, 451
233, LS483372.1, Pseudomonas fluorescens, SQF92997.1, 451
236, AP018756.1, Metakosakonia sp. MRY16-398, BBE76750.1, 451
238, LT629769.1, Pseudomonas syringae, SDT57753.1, 454
240, LT963402.1, Pseudomonas syringae pv. avii, SOS28882.1, 454
242, LT907782.1, Nitrosomonas ureae, SNX61189.1, 447
243, LT907782.1, Nitrosomonas ureae, SNX60731.1, 424
244, CP005970.1, Pseudomonas syringae UMAF0158, ALE00890.1, 454
246, CP008742.1, Pseudomonas savastanoi pv. savastanoi NCPPB 3335, ARD11068.1, 454
248, CP007014.1, Pseudomonas syringae CC1557, AHG42570.1, 454
